OBJECTID,Street1,Street2,Intersect,Long,Lat
1043,AVEBURY AVE,KINGS RD,KINGS RD & AVEBURY AVE,-123.342212491653,48.4381450643158
1044,ASQUITH ST,KINGS RD,KINGS RD & ASQUITH ST,-123.340879198693,48.4381287965392
1045,BELMONT AVE,KINGS RD,KINGS RD & BELMONT AVE,-123.339703506589,48.4381144396017
1046,FORBES ST,KINGS RD,KINGS RD & FORBES ST,-123.338470626635,48.4380993716744
1047,FAIRFIELD RD,KIPLING ST,KIPLING ST & FAIRFIELD RD,-123.345505724008,48.4138023692479
1048,BROOKE ST,KIPLING ST,KIPLING ST & BROOKE ST,-123.34442146153,48.4147747085906
1049,HAMLEY ST,KIPLING ST,KIPLING ST & HAMLEY ST,-123.344212635158,48.4156520961383
1050,COOK ST,KIWANIS WAY,KIWANIS WAY & COOK ST,-123.349047959664,48.442714836991
1051,CEDAR HILL RD,KIWANIS WAY,KIWANIS WAY & CEDAR HILL RD,-123.347788888471,48.4437238846928
1052,COOK ST,LANG ST,LANG ST & COOK ST,-123.349592270294,48.4469203285522
1053,CEDAR HILL RD,LANG ST,LANG ST & CEDAR HILL RD,-123.344699418297,48.4469896941941
1054,EVANS ST,LANGFORD ST,LANGFORD ST & EVANS ST,-123.391260603351,48.4349264097961
1055,FULLERTON AVE,LANGFORD ST,LANGFORD ST & FULLERTON AVE,-123.389483770309,48.4349390989942
1056,HUDSON ST,LANGFORD ST,LANGFORD ST & HUDSON ST,-123.388784958195,48.4349485602462
1057,FRONT ST,LANGFORD ST,LANGFORD ST & FRONT ST,-123.38722100181,48.4346834866365
1058,CATHERINE ST,LANGFORD ST,LANGFORD ST & CATHERINE ST,-123.384789536993,48.4346821861012
1059,ALSTON ST,LANGFORD ST,LANGFORD ST & ALSTON ST,-123.383330271907,48.4346620383852
1060,BROUGHTON ST,LANGLEY ST,LANGLEY ST & BROUGHTON ST,-123.368814301929,48.4242874321447
1061,FORT ST,LANGLEY ST,LANGLEY ST & FORT ST,-123.368653809938,48.4249563926938
1062,BASTION SQ,LANGLEY ST,LANGLEY ST & BASTION SQ,-123.368459369554,48.4257278246826
1063,CHANCERY LANE,LANGLEY ST,LANGLEY ST & CHANCERY LANE,-123.368371582559,48.4261212675952
1064,DOUGLAS ST,LARCH ST,LARCH ST & DOUGLAS ST,-123.370338045044,48.4443683889405
1065,GONZALES AVE,LAURENTIAN PL,LAURENTIAN PL & GONZALES AVE,-123.331075472539,48.4190381940328
1066,BOURCHIER ST,LEE AVE,LEE AVE & BOURCHIER ST,-123.325606073447,48.4301856959908
1067,FORT ST,LEE AVE,LEE AVE & FORT ST,-123.32561278096,48.4315059657088
1068,BELCHER AVE,LEIGHTON RD,LEIGHTON RD & BELCHER AVE,-123.332955568913,48.428395501524
1069,FORT ST,LEIGHTON RD,LEIGHTON RD & FORT ST,-123.332230739255,48.4286758289607
1070,JUBILEE AVE,LEIGHTON RD,LEIGHTON RD & JUBILEE AVE,-123.331600288475,48.4283953982686
1071,BANK ST,LEIGHTON RD,LEIGHTON RD & BANK ST,-123.328881785856,48.4283954580127
1072,DUCHESS ST,LEIGHTON RD,LEIGHTON RD & DUCHESS ST,-123.327745301148,48.4283892770119
